No,Datetime,NOx(µg/Nm3},SO2(µg/Nm3},O3(µg/Nm3},PM-10(µg/Nm3},PM-2-5(µg/Nm3},NO(µg/Nm3},NO2(µg/Nm3},CO(mg/Nm3},PM-1(µg/m3},,,,,,,,,
172,11:00 13/11/2019,0.0,-9999.0,-9999.0,247.2821,205.9254,-9999.0,-9999.0,-9999.0,182.3857,,,,,,,,,
173,12:00 13/11/2019,0.0,-9999.0,-9999.0,223.4645,183.4139,-9999.0,-9999.0,-9999.0,152.3906,,,,,,,,,
174,13:00 13/11/2019,16.1231,18.7558,72.8549,96.2765,75.8382,1.1928,14.9303,364.0741,66.4443,,,,,,,,,
175,14:00 13/11/2019,0.0,-9999.0,-9999.0,46.6545,35.3216,-9999.0,-9999.0,-9999.0,30.8718,,,,,,,,,
176,15:00 13/11/2019,0.0,-9999.0,-9999.0,39.7003,27.9921,-9999.0,-9999.0,-9999.0,23.4721,,,,,,,,,
177,16:00 13/11/2019,0.0,-9999.0,-9999.0,159.2695,116.7407,-9999.0,-9999.0,-9999.0,98.8669,,,,,,,,,
178,17:00 13/11/2019,8.6749,-7980.9189,-7991.5452,97.1099,74.534,-7997.9565,-7991.7686,-7928.45,60.7429,,,,,,,,,
179,18:00 13/11/2019,0.0,-9999.0,-9999.0,135.513,80.2077,-9999.0,-9999.0,-9999.0,64.7082,,,,,,,,,
180,19:00 13/11/2019,0.0,-9999.0,-9999.0,145.9395,95.2023,-9999.0,-9999.0,-9999.0,78.0449,,,,,,,,,
181,20:00 13/11/2019,2.1013,-8177.7624,-8171.7753,36.6514,28.5733,-8180.9909,-8178.9078,-8158.3956,24.0028,,,,,,,,,
182,21:00 13/11/2019,9.5691,20.1592,61.5841,20.5198,15.4242,0.1104,9.4587,156.2997,13.4498,,,,,,,,,
183,22:00 13/11/2019,3.9185,23.1164,67.4352,22.4004,16.565,0.0125,3.906,344.25,13.8525,,,,,,,,,
184,23:00 13/11/2019,0.0,-9999.0,-9999.0,18.1755,13.4873,-9999.0,-9999.0,-9999.0,11.8113,,,,,,,,,
185,00:00 14/11/2019,0.0,-9999.0,-9999.0,13.5096,9.9927,-9999.0,-9999.0,-9999.0,8.9609,,,,,,,,,
186,01:00 14/11/2019,0.0,-9999.0,-9999.0,24.5867,19.0358,-9999.0,-9999.0,-9999.0,16.481,,,,,,,,,
187,02:00 14/11/2019,0.0,-9999.0,-9999.0,62.991,44.7014,-9999.0,-9999.0,-9999.0,30.9771,,,,,,,,,
188,03:00 14/11/2019,0.0,-9999.0,-9999.0,28.2101,19.6002,-9999.0,-9999.0,-9999.0,15.3718,,,,,,,,,
189,04:00 14/11/2019,2.4534,-6235.9183,-6230.9353,15.8917,11.65,-6249.3654,-6246.9311,-6103.1579,10.3644,,,,,,,,,
