STT,Datetime,NOx(µg/Nm3},SO2(µg/Nm3},O3(µg/Nm3},PM-10(µg/Nm3},PM-2-5(µg/Nm3},NO(µg/Nm3},NO2(µg/Nm3},CO(mg/Nm3},Atmospheric pressure(hPa},InnerTemp(oC},,,,,
10506,22:00 07/04/2025,12.1375,5.4625,8.2175,100.9217,58.6458,1.1983,11.0317,2643.6333,1015.4933,27.0683,,,,,
10507,23:00 07/04/2025,11.1058,4.8775,12.71,86.935,52.7983,1.1133,10.3217,2598.4383,1015.7517,25.4683,,,,,
10508,00:00 08/04/2025,8.3433,4.71,17.69,68.4833,33.4433,0.45,8.8558,2505.7317,1015.4642,25.6783,,,,,
10509,01:00 08/04/2025,9.2592,5.5192,16.1742,52.65,30.7458,1.1892,9.12,2431.1225,1014.8017,27.8592,,,,,
10510,02:00 08/04/2025,10.1225,5.7917,9.745,79.1742,43.9608,0.85,10.2158,2295.8075,1014.0408,28.405,,,,,
10511,03:00 08/04/2025,8.1183,6.3267,11.1608,87.2133,48.2317,0.2617,8.8492,2037.5867,1013.24,28.565,,,,,
10512,04:00 08/04/2025,6.9508,5.8483,24.5675,81.1575,52.3525,0.3692,7.5717,2004.225,1012.7958,26.4158,,,,,
10513,05:00 08/04/2025,3.1842,4.9183,31.815,72.3142,40.0792,0.0,4.7192,1945.2392,1013.2867,25.3717,,,,,
10514,06:00 08/04/2025,9.4425,4.575,15.8492,81.835,37.1175,2.0642,8.2317,2218.6783,1014.0983,25.5883,,,,,
10515,07:00 08/04/2025,9.8042,5.5842,16.8575,81.2708,34.9942,2.3692,8.4775,2681.0833,1014.6933,27.6625,,,,,
10516,08:00 08/04/2025,12.0408,6.54,19.9883,83.3867,41.725,1.8458,10.8258,3968.9558,1015.5108,28.3325,,,,,
10517,09:00 08/04/2025,8.2392,6.4908,19.8267,92.9625,48.0633,0.455,8.6083,2962.0025,1015.8742,28.4292,,,,,
10518,10:00 08/04/2025,17.9925,6.5233,15.2783,107.7517,53.4942,4.5875,13.4225,4317.8417,1015.8892,27.48,,,,,
10519,11:00 08/04/2025,11.5517,5.7283,34.4108,97.7117,51.6833,0.8842,10.8158,3078.9392,1015.5425,26.6683,,,,,
10520,12:00 08/04/2025,8.9817,5.3608,49.5358,101.0333,53.5267,0.0108,9.5408,2618.2858,1014.6542,26.7542,,,,,
10521,13:00 08/04/2025,10.6942,6.1758,38.9375,89.8233,51.0767,1.2542,10.0883,2688.9508,1013.3083,27.7292,,,,,
10522,14:00 08/04/2025,8.2267,5.735,31.6875,87.6475,58.8167,0.2783,8.8825,2474.9825,1011.895,27.9458,,,,,
10523,15:00 08/04/2025,4.9658,5.9367,47.7242,83.1542,54.6475,0.0,6.3308,2364.8208,1010.9967,28.1417,,,,,
10524,16:00 08/04/2025,4.6217,5.4958,61.6958,83.2683,54.3392,0.0,5.9325,2362.495,1010.3183,27.8575,,,,,
10525,17:00 08/04/2025,5.1475,5.2425,67.5108,84.7883,47.635,0.025,6.3,2589.5833,1010.2583,26.6692,,,,,
10526,18:00 08/04/2025,4.295,5.1533,68.0817,86.305,37.1958,0.0,5.6183,2546.4075,1010.6008,26.445,,,,,
10527,19:00 08/04/2025,5.7125,5.6075,43.8867,75.7358,34.0608,0.45,6.3792,2867.5025,1011.4833,27.9917,,,,,
