No,Datetime,NOx(µg/Nm3},SO2(µg/Nm3},O3(µg/Nm3},PM-10(µg/Nm3},PM-2-5(µg/Nm3},NO(µg/Nm3},NO2(µg/Nm3},CO(mg/Nm3},Áp su?t khí quy?n(hPa},InnerTemp(oC},,,,,
1612,01:00 10/03/2024,8.9975,2.7742,8.4342,72.6442,52.6267,3.725,5.2733,2971.9175,1016.7258,27.6425,,,,,
1613,02:00 10/03/2024,7.8633,3.89,7.6625,60.6233,46.8533,2.9817,4.8808,2973.6092,1016.3617,27.7542,,,,,
1614,03:00 10/03/2024,9.6783,3.3908,8.2475,55.4292,42.7483,3.6433,6.035,2933.6242,1016.4717,28.2983,,,,,
1615,04:00 10/03/2024,8.2192,2.7892,10.2025,49.715,39.1233,3.2033,5.0158,2901.2558,1016.5308,28.29,,,,,
1616,05:00 10/03/2024,9.3,2.3875,7.94,42.0475,38.4192,3.6692,5.6325,2934.7183,1016.8408,28.2725,,,,,
1617,06:00 10/03/2024,11.2342,2.3508,5.0583,41.8908,30.6892,4.1925,7.0425,2959.2425,1017.5767,28.2608,,,,,
1618,07:00 10/03/2024,10.9,2.1842,5.4942,34.385,20.5283,4.4475,6.4533,2999.2633,1018.1792,28.0858,,,,,
1619,08:00 10/03/2024,11.7675,1.9583,5.7083,37.1,18.6092,5.0217,6.7467,2854.9208,934.0725,25.4942,,,,,
1620,09:00 10/03/2024,15.0075,2.0967,7.1483,50.3525,32.1533,7.15,7.8575,3160.6692,1019.55,27.6033,,,,,
1621,10:00 10/03/2024,14.2575,2.7883,7.2333,56.2067,30.9142,5.9583,8.2992,2884.4617,1019.9617,27.6108,,,,,
1622,11:00 10/03/2024,14.4908,2.7225,11.2367,70.5225,32.885,5.28,9.2092,3068.4833,1019.6608,28.1367,,,,,
1623,12:00 10/03/2024,12.9892,3.4542,12.6825,74.3617,37.67,4.645,8.345,3038.12,1018.6308,28.1783,,,,,
1624,13:00 10/03/2024,13.3375,3.1233,17.1442,76.535,38.2658,5.0292,8.3067,2959.1233,1017.8542,28.1667,,,,,
1625,14:00 10/03/2024,10.9858,2.6592,16.3933,80.6567,37.2758,3.8692,7.1167,2961.81,1017.0167,28.2067,,,,,
1626,15:00 10/03/2024,12.0708,2.4692,14.9033,73.8883,38.1658,4.3525,7.7183,3001.5483,1016.3383,27.8742,,,,,
1627,16:00 10/03/2024,12.0883,2.4225,18.4933,83.5892,45.3708,4.55,7.5367,2806.375,1015.8025,27.49,,,,,
1628,17:00 10/03/2024,10.6108,2.8892,19.8075,85.8375,47.8317,3.7883,6.82,3000.6125,1015.6783,27.4408,,,,,
1629,18:00 10/03/2024,16.0775,3.1567,15.3742,93.9525,51.5675,5.61,10.4675,2964.6392,1016.0967,27.4675,,,,,
1630,19:00 10/03/2024,17.3633,2.62,9.8667,98.4692,58.3058,5.3517,12.0108,3252.9033,1016.5208,28.1108,,,,,
1631,20:00 10/03/2024,13.52,2.6608,13.3692,90.0108,64.9392,4.1467,9.3742,3089.3942,1017.2067,28.2317,,,,,
1632,21:00 10/03/2024,14.0042,2.5192,10.7975,86.2267,46.0483,5.0417,8.965,3049.9708,1018.1075,28.25,,,,,
1633,22:00 10/03/2024,11.7225,2.3842,10.32,77.91,31.0783,3.9492,7.7692,2997.7075,1018.6842,28.2342,,,,,
1634,23:00 10/03/2024,10.27,7.0633,8.3092,75.1167,40.335,3.715,6.5558,3014.5725,1018.8167,28.0625,,,,,
1635,00:00 11/03/2024,10.2167,9.2033,7.6475,74.7475,67.5158,3.66,6.5558,3028.88,1018.7125,27.7825,,,,,
1636,01:00 11/03/2024,9.285,4.7983,7.3975,70.645,62.43,3.6658,5.6217,2947.9425,1018.4542,27.6392,,,,,
1637,02:00 11/03/2024,9.7825,3.9125,5.2867,65.1792,53.8767,3.6667,6.115,2944.0558,1018.4525,27.7275,,,,,
1638,03:00 11/03/2024,9.7492,5.7667,7.6008,60.1892,54.915,3.48,6.2692,2881.3692,1018.3533,28.2017,,,,,
1639,04:00 11/03/2024,9.6933,3.8033,5.8967,57.65,44.25,3.52,6.1733,2832.5133,1018.3533,28.2133,,,,,
1640,07:00 11/03/2024,12.58,3.62,3.91,38.24,21.82,5.9,6.68,3293.98,1021.55,28.12,,,,,
1641,08:00 11/03/2024,15.415,3.455,3.9783,39.2942,16.9275,8.1325,7.3558,3364.5633,1021.8075,27.7292,,,,,
1642,09:00 11/03/2024,15.5692,3.415,5.035,49.865,28.5283,7.7508,7.8167,3045.3333,1022.37,27.6092,,,,,
1643,10:00 11/03/2024,12.68,2.9508,8.605,58.6583,33.5875,5.7192,6.9583,3140.4267,1022.4658,27.5158,,,,,
1644,11:00 11/03/2024,11.1408,3.28,16.9592,51.5225,21.7675,4.2858,6.8558,2778.2058,1022.2525,28.1025,,,,,
1645,12:00 11/03/2024,11.1342,3.0042,19.9333,38.7367,15.2317,4.3667,6.7667,3007.3375,1021.335,28.2708,,,,,
1646,13:00 11/03/2024,11.1475,2.8283,29.8008,34.9858,13.2833,4.1983,6.9517,2955.2833,1020.3833,28.3967,,,,,
1647,14:00 11/03/2024,10.6917,2.8042,38.7958,43.12,16.9092,3.8467,6.8433,2979.8833,1018.9833,28.5708,,,,,
