STT,Datetime,NOx(µg/Nm3},SO2(µg/Nm3},O3(µg/Nm3},PM-10(µg/Nm3},PM-2-5(µg/Nm3},NO(µg/Nm3},NO2(µg/Nm3},CO(mg/Nm3},Atmospheric pressure(hPa}
728,07:00 31/01/2024,46.0909,0.9236,27.2645,145.6845,128.7773,19.0727,27.0173,3658.5936,1016.6264
729,08:00 31/01/2024,58.5025,1.2517,24.6492,118.8742,110.68,27.3667,31.1367,5250.9,1017.1533
730,09:00 31/01/2024,65.6008,1.8567,20.3283,78.8417,76.77,31.9417,33.6592,5626.2408,1017.9175
731,10:00 31/01/2024,56.0475,2.0392,23.8717,57.75,54.8317,20.02,36.0267,4633.0158,1018.1292
732,11:00 31/01/2024,52.17,1.7058,29.4017,62.625,45.4517,17.9975,34.1725,4127.8892,1017.7133
733,12:00 31/01/2024,69.2958,2.7408,33.7475,87.2808,46.4167,24.1833,45.1117,5017.8942,1016.7067
734,13:00 31/01/2024,59.9017,2.6333,49.0783,106.9975,56.1058,13.8792,46.0208,4533.51,1015.5883
735,14:00 31/01/2024,54.5092,1.9858,60.5067,129.5617,73.6983,10.5133,43.9958,4154.0267,1014.3142
736,15:00 31/01/2024,61.9267,2.3325,72.5267,137.61,90.895,10.3425,51.585,4706.3933,1013.3208
737,16:00 31/01/2024,60.9992,2.5958,86.8425,151.91,112.9508,7.7392,53.2608,4736.0725,1012.955
738,17:00 31/01/2024,72.0317,2.9933,81.6167,173.6333,137.895,7.6017,64.4275,4853.2392,1013.1233
739,18:00 31/01/2024,69.4073,2.2245,69.87,205.2282,163.5245,7.6473,61.7582,4845.9373,1013.6391
740,19:00 31/01/2024,76.9483,1.9392,49.5542,217.7633,179.78,7.6317,69.3158,5598.2567,1013.9092
741,20:00 31/01/2024,70.1825,1.6533,43.8717,212.0842,175.7625,7.3958,62.7892,5271.1925,1014.525
742,21:00 31/01/2024,72.2155,1.4927,37.9127,214.6882,183.1309,9.3118,62.9036,5317.1309,1014.9109
743,22:00 31/01/2024,84.215,2.2058,34.0983,229.6367,192.2592,16.5992,67.6175,5465.0967,1015.0508
744,23:00 31/01/2024,89.9067,2.1142,37.3758,218.6125,177.3817,22.6242,67.2817,5792.445,1015.2192
745,00:00 01/02/2024,92.1118,2.5236,37.3736,199.1,155.8991,34.22,57.8918,4719.4227,1014.9655
746,01:00 01/02/2024,108.6017,2.7408,29.4092,246.9392,189.5267,49.2225,59.38,6663.7983,1014.7383
747,02:00 01/02/2024,91.4067,2.0708,27.845,224.8142,178.23,37.7,53.7067,4529.375,1014.3767
748,03:00 01/02/2024,81.1473,1.5745,28.3545,236.3409,194.2818,31.01,50.1345,4157.0845,1013.9836
749,04:00 01/02/2024,57.49,0.6309,21.6282,221.4245,185.8564,14.58,42.9118,4014.6491,1013.8473
750,05:00 01/02/2024,51.2978,0.86,24.4533,188.7078,153.04,14.2567,37.0422,3468.6222,1014.0744
751,06:00 01/02/2024,44.0273,1.13,23.4591,165.3673,130.5427,14.32,29.7045,3366.6064,1014.6491
752,07:00 01/02/2024,51.0142,0.8658,27.3167,190.3367,152.4258,20.2567,30.7567,4006.7825,1015.565
753,08:00 01/02/2024,43.8275,0.9317,25.5,148.2175,125.1592,17.3183,26.5075,4218.61,1016.3108
754,09:00 01/02/2024,50.12,1.889,19.469,103.926,87.823,20.189,29.931,4051.747,1016.948
755,10:00 01/02/2024,40.7929,1.96,30.2414,49.9943,41.8714,16.5314,24.2629,3330.9114,1017.3871
756,11:00 01/02/2024,33.207,2.011,36.406,49.232,36.729,7.998,25.211,4720.064,1016.931
757,12:00 01/02/2024,45.5617,2.16,44.0683,81.1283,50.8267,11.6917,33.8725,4538.665,1015.97
758,13:00 01/02/2024,37.01,2.464,56.46,98.005,56.848,7.481,29.529,3964.745,1014.73
759,14:00 01/02/2024,31.7133,2.2667,68.3708,102.6783,61.88,4.405,27.3058,3236.9067,1013.3625
760,15:00 01/02/2024,38.0173,2.4736,78.4491,93.9136,66.1391,4.4882,33.5309,3627.7245,1012.5718
761,16:00 01/02/2024,42.6609,2.4018,76.0645,97.1527,77.6209,5.0636,37.6,4264.2882,1011.9045
762,17:00 01/02/2024,51.807,2.388,67.671,104.928,88.471,5.754,46.054,4504.453,1012.35
763,18:00 01/02/2024,71.3033,2.7067,46.7333,118.6975,97.25,7.8167,63.4842,5252.8283,1012.3767
764,19:00 01/02/2024,61.492,2.484,42.555,139.337,113.24,7.235,54.256,5705.921,1012.743
765,20:00 01/02/2024,51.361,2.105,47.369,162.682,132.972,6.905,44.458,3981.86,1013.498
766,21:00 01/02/2024,30.2767,0.7056,41.3778,172.2733,142.0011,4.1767,26.1011,3990.8633,1014.1878
767,22:00 01/02/2024,46.9264,1.5609,46.4164,169.86,143.3736,5.9282,41.0,4543.3564,1014.3582
768,23:00 01/02/2024,37.107,1.531,42.212,153.151,131.281,4.642,32.464,4491.817,1014.16
769,00:00 02/02/2024,39.28,0.94,33.3973,196.9491,149.0091,4.8091,34.4709,3011.7636,1013.76
770,01:00 02/02/2024,31.9964,0.6827,28.6073,175.7018,112.5555,3.6182,28.3782,3015.7418,1013.4936
771,02:00 02/02/2024,22.625,0.622,17.512,186.91,96.821,2.312,20.314,2782.163,1013.026
772,03:00 02/02/2024,21.3122,0.2967,21.3756,118.3633,57.8267,1.9722,19.3411,2769.6578,1012.4578
773,04:00 02/02/2024,21.0,0.287,19.418,111.686,57.295,2.551,18.45,2488.641,1012.359
774,05:00 02/02/2024,26.2592,0.4542,22.1708,110.1508,60.3117,4.7367,21.5233,2803.3292,1012.3883
775,06:00 02/02/2024,38.9158,0.6258,18.6167,92.345,54.0875,12.99,25.9242,3105.4125,1012.7608
776,07:00 02/02/2024,33.6933,0.4175,23.8017,82.2758,47.2408,8.8525,24.8417,3212.3958,1013.2692
